record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0953,2002-11-28,female,canalbarra_cadastros_20021128_female,3,@,Lena-Barra,@ Lena-Barra,historical_public_nickname,false,false,1
cb_20021128_0954,2002-11-28,female,canalbarra_cadastros_20021128_female,4,@,Lisa-Barra,@ Lisa-Barra,historical_public_nickname,false,false,1
cb_20021128_0955,2002-11-28,female,canalbarra_cadastros_20021128_female,5,@,lorarj,@ lorarj,historical_public_nickname,false,false,1
cb_20021128_0956,2002-11-28,female,canalbarra_cadastros_20021128_female,6,@,Maryah,@ Maryah,historical_public_nickname,false,false,1
cb_20021128_0957,2002-11-28,female,canalbarra_cadastros_20021128_female,7,@,Michelle,@ Michelle,historical_public_nickname,false,false,1
cb_20021128_0958,2002-11-28,female,canalbarra_cadastros_20021128_female,8,@,nops,@ nops,historical_public_nickname,false,false,1
cb_20021128_0959,2002-11-28,female,canalbarra_cadastros_20021128_female,9,@,Tigresa_Barra,@ Tigresa_Barra,historical_public_nickname,false,false,1
cb_20021128_0960,2002-11-28,female,canalbarra_cadastros_20021128_female,10,+@,Advogata_rj,+ @ Advogata_rj,historical_public_nickname,false,false,1
cb_20021128_0961,2002-11-28,female,canalbarra_cadastros_20021128_female,11,+,BetaBarra,+ BetaBarra,historical_public_nickname,false,false,1
cb_20021128_0962,2002-11-28,female,canalbarra_cadastros_20021128_female,12,+,Carol_Vascaina,+ Carol_Vascaina,historical_public_nickname,false,false,1
cb_20021128_0963,2002-11-28,female,canalbarra_cadastros_20021128_female,13,+,Line,+ Line,historical_public_nickname,false,false,2
cb_20021128_0964,2002-11-28,female,canalbarra_cadastros_20021128_female,14,+,ReBarra,+ ReBarra,historical_public_nickname,false,false,1
cb_20021128_0965,2002-11-28,female,canalbarra_cadastros_20021128_female,15,,***B!@***,***B!@***,historical_public_nickname,false,false,1
cb_20021128_0966,2002-11-28,female,canalbarra_cadastros_20021128_female,16,,***L@l@***,***L@l@***,historical_public_nickname,false,false,1
cb_20021128_0967,2002-11-28,female,canalbarra_cadastros_20021128_female,17,,**JuJuLi**,**JuJuLi**,historical_public_nickname,false,false,1
cb_20021128_0968,2002-11-28,female,canalbarra_cadastros_20021128_female,18,,**Malvadinha**,**Malvadinha**,historical_public_nickname,false,false,1
cb_20021128_0969,2002-11-28,female,canalbarra_cadastros_20021128_female,19,,**PaulinhaGump^^,**PaulinhaGump^^,historical_public_nickname,false,false,1
cb_20021128_0970,2002-11-28,female,canalbarra_cadastros_20021128_female,20,,*^PaulinhaGump^^,*^PaulinhaGump^^,historical_public_nickname,false,false,1
cb_20021128_0971,2002-11-28,female,canalbarra_cadastros_20021128_female,21,,*Luana Spears*,*Luana Spears*,historical_public_nickname,false,false,1
cb_20021128_0972,2002-11-28,female,canalbarra_cadastros_20021128_female,22,@,BaBaloo,@ BaBaloo,historical_public_nickname,false,false,1
cb_20021128_0973,2002-11-28,female,canalbarra_cadastros_20021128_female,23,,[^PrinceSinha^],[^PrinceSinha^],historical_public_nickname,false,false,1
cb_20021128_0974,2002-11-28,female,canalbarra_cadastros_20021128_female,24,,[_Ariel_],[_Ariel_],historical_public_nickname,false,false,1
cb_20021128_0975,2002-11-28,female,canalbarra_cadastros_20021128_female,25,,[Paulinha_GsP],[Paulinha_GsP],historical_public_nickname,false,false,1
cb_20021128_0976,2002-11-28,female,canalbarra_cadastros_20021128_female,26,,[-Piper-],[-Piper-],historical_public_nickname,false,false,1
